State,Total population,Categoría de densidad
Alabama,5039877,Mediana
Alaska,732673,Baja
Arizona,7276316,Alta
Arkansas,3025891,Mediana
California,39237836,Alta
Colorado,5812069,Mediana
Connecticut,3605597,Mediana
Delaware,1003384,Baja
District of Columbia,670050,Baja
Florida,21781128,Alta
Georgia,10799566,Alta
Hawaii,1441553,Baja
Idaho,1900923,Baja
Illinois,12671469,Alta
Indiana,6805985,Mediana
Iowa,3193079,Mediana
Kansas,2934582,Mediana
Kentucky,4509394,Mediana
Louisiana,4624047,Mediana
Maine,1372247,Baja
Maryland,6165129,Mediana
Massachusetts,6984723,Alta
Michigan,10050811,Alta
Minnesota,5707390,Mediana
Mississippi,2949965,Mediana
Missouri,6168187,Mediana
Montana,1104271,Baja
Nebraska,1963692,Baja
Nevada,3143991,Mediana
New Hampshire,1388992,Baja
New Jersey,9267130,Alta
New Mexico,2115877,Baja
New York,19835913,Alta
North Carolina,10551162,Alta
North Dakota,774948,Baja
Ohio,11780017,Alta
Oklahoma,3986639,Mediana
Oregon,4246155,Mediana
Pennsylvania,12964056,Alta
Rhode Island,1095610,Baja
South Carolina,5190705,Mediana
South Dakota,895376,Baja
Tennessee,6975218,Alta
Texas,29527941,Alta
Utah,3337975,Mediana
Vermont,645570,Baja
Virginia,8642274,Alta
Washington,7738692,Alta
West Virginia,1782959,Baja
Wisconsin,5895908,Mediana
Wyoming,578803,Baja
Puerto Rico,3263584,Mediana
